match_id,home_team,away_team,lambda_home,lambda_away,score,home_goals,away_goals,probability,total_goals,result_type,created_at
WC2026-L22,England,Croatia,2.6265,0.8219,2-0,2,0,0.109728,2,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,3-0,3,0,0.096066,3,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,2-1,2,1,0.090185,3,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,1-0,1,0,0.080465,1,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,3-1,3,1,0.078957,4,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,1-1,1,1,0.071764,2,平,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,4-0,4,0,0.063079,4,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,4-1,4,1,0.051844,5,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,2-2,2,2,0.037062,4,平,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,0-0,0,0,0.034903,0,平,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,5-0,5,0,0.033135,5,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,3-2,3,2,0.032447,5,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,1-2,1,2,0.028222,3,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,5-1,5,1,0.027234,6,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,0-1,0,1,0.023056,1,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,4-2,4,2,0.021305,6,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,6-0,6,0,0.014505,6,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,6-1,6,1,0.011921,7,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,5-2,5,2,0.011192,7,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,0-2,0,2,0.010745,2,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,2-3,2,3,0.010154,5,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,3-3,3,3,0.008889,6,平,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,1-3,1,3,0.007732,4,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,4-3,4,3,0.005837,7,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,7-0,7,0,0.005442,7,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,6-2,6,2,0.004899,8,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,7-1,7,1,0.004473,8,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,5-3,5,3,0.003066,8,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,0-3,0,3,0.002944,3,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,2-4,2,4,0.002086,6,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,7-2,7,2,0.001838,9,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,3-4,3,4,0.001827,7,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,8-0,8,0,0.001773,8,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,1-4,1,4,0.001589,5,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,8-1,8,1,0.001457,9,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,6-3,6,3,0.001342,9,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,4-4,4,4,0.001199,8,平,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,5-4,5,4,0.000630,9,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,0-4,0,4,0.000605,4,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,8-2,8,2,0.000599,10,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,7-3,7,3,0.000504,10,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,9-0,9,0,0.000501,9,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,9-1,9,1,0.000412,10,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,2-5,2,5,0.000343,7,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,3-5,3,5,0.000300,8,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,6-4,6,4,0.000276,10,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,1-5,1,5,0.000261,6,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,4-5,4,5,0.000197,9,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,9-2,9,2,0.000169,11,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,8-3,8,3,0.000164,11,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,5-5,5,5,0.000104,10,平,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,7-4,7,4,0.000103,11,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,0-5,0,5,0.000099,5,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,2-6,2,6,0.000047,8,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,9-3,9,3,0.000046,12,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,6-5,6,5,0.000045,11,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,3-6,3,6,0.000041,9,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,1-6,1,6,0.000036,7,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,8-4,8,4,0.000034,12,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,4-6,4,6,0.000027,10,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,7-5,7,5,0.000017,12,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,5-6,5,6,0.000014,11,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,0-6,0,6,0.000014,6,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,9-4,9,4,0.000010,13,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,6-6,6,6,0.000006,12,平,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,8-5,8,5,0.000006,13,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,2-7,2,7,0.000006,9,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,3-7,3,7,0.000005,10,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,1-7,1,7,0.000004,8,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,4-7,4,7,0.000003,11,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,7-6,7,6,0.000002,13,胜,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,5-7,5,7,0.000002,12,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,0-7,0,7,0.000002,7,负,2026-06-19T09:55:13.731778+00:00
WC2026-L22,England,Croatia,2.6265,0.8219,9-5,9,5,0.000002,14,胜,2026-06-19T09:55:13.731778+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,1-1,1,1,0.113459,2,平,2026-06-19T09:55:14.484251+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,1-0,1,0,0.099779,1,胜,2026-06-19T09:55:14.484251+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,2-1,2,1,0.098623,3,胜,2026-06-19T09:55:14.484251+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,2-0,2,0,0.095072,2,胜,2026-06-19T09:55:14.484251+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,0-0,0,0,0.062498,0,平,2026-06-19T09:55:14.484251+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,3-1,3,1,0.059723,4,胜,2026-06-19T09:55:14.484251+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,3-0,3,0,0.057573,3,胜,2026-06-19T09:55:14.484251+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,1-2,1,2,0.056314,3,负,2026-06-19T09:55:14.484251+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,0-1,0,1,0.054878,1,负,2026-06-19T09:55:14.484251+00:00
WC2026-J43,Argentina,Austria,1.8167,1.0373,2-2,2,2,0.051153,4,平,2026-06-19T09:55:14.484251+00:00
